Target URL,Affiliate URL,Status,Reason
https://runwayml.com,https://runwayml.com/news/runway-partners-with-nvidia,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://heygen.com,https://www.heygen.com/affiliate-program,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://synthesia.io,https://www.synthesia.io/services,https://www.synthesia.io/?via=carlos-torrez-ortiz
https://pika.art,https://pika.style/?via=carlos
https://invideo.io,https://invideo.io/agency-partners/,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://descript.com,https://www.descript.com/affiliate,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://capcut.com,https://www.capcut.com/partners/affiliate-program,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://pictory.ai,https://pictory.ai/partner-with-pictory,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://fliki.ai,https://fliki.ai/affiliate-program,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://veed.io,https://www.veed.io/affiliate,Partial/Failed,No se encontraron campos reconocibles.
https://opus.pro,https://www.opus.pro/affiliate,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://elai.io,https://elai.io/partners/,Partial/Failed,No se encontraron campos reconocibles.
https://colossyan.com,https://www.cookiebot.com/en/what-is-behind-powered-by-cookiebot/?utm_source=banner_cb&utm_medium=referral&utm_content=v2,Partial/Failed,No se encontraron campos reconocibles.
https://deepbrain.io,https://www.aistudios.com/solutions/brand-ambassador,Partial/Failed,No se encontraron campos reconocibles.
https://lumalabs.ai,https://lumalabs.ai/press/luma-ai-partners-with-serviceplan-group-to-deploys-ai-across-global-operations,Partial/Failed,Not Found (Posible IFrame/Typeform)
https://kaiber.ai,https://kaiber.getrewardful.com/signup,Partial/Failed,Se llenaron 3 campos pero no se encontró botón Submit.
https://filmora.wondershare.net,Not Found,Failed,No se encontró enlace de afiliados
https://clipchamp.com,Not Found,Failed,No se encontró enlace de afiliados
https://vidyo.ai,https://quso.ai/affiliate-program,Partial/Failed,Not Found (Posible IFrame/Typeform)
